id,lemma,pos,gender,note,gender_hint
abheben,abheben,verb,,,
fuehrerschein,Führerschein,noun,m,,
rezept,Rezept,noun,n,,
erkaeltung,Erkältung,noun,f,,eine-
aufraeumen,aufräumen,verb,,,
gramm,Gramm,noun,n,,
feiertag,Feiertag,noun,m,,
kreuzung,Kreuzung,noun,f,,diese-
kreditkarte,Kreditkarte,noun,f,,keine-
wechseln,wechseln,verb,,,
tankstelle,Tankstelle,noun,f,,eine-
medikament,Medikament,noun,n,,-ment
gebuehr,Gebühr,noun,f,,
aufenthalt,Aufenthalt,noun,m,,
jahreszeit,Jahreszeit,noun,f,,eine-
nudeln,Nudeln,noun,,,
uhrzeit,Uhrzeit,noun,f,,
packung,Packung,noun,f,,eine-
antrag,Antrag,noun,m,,sein-
besprechung,Besprechung,noun,f,,
personalausweis,Personalausweis,noun,m,,mein-
geldautomat,Geldautomat,noun,m,,
umsteigen,umsteigen,verb,,,
putzen,putzen,verb,,,
ueberweisung,Überweisung,noun,f,,
wechselgeld,Wechselgeld,noun,n,,
staatsangehoerigkeit,Staatsangehörigkeit,noun,f,,welche-
wehtun,wehtun,verb,,,
geburtsdatum,Geburtsdatum,noun,n,,Ge-
fahrplan,Fahrplan,noun,m,,
husten-noun,Husten,noun,m,,
weg-noun,Weg,noun,m,,
richtung-prep,Richtung,prep,,,
kosten-noun,Kosten,noun,,,
samstag,Samstag,noun,m,,
sekunde,Sekunde,noun,f,,keine-
dienstag,Dienstag,noun,m,,
mittwoch,Mittwoch,noun,m,,
donnerstag,Donnerstag,noun,m,,
freitag,Freitag,noun,m,,
montag,Montag,noun,m,,
abend,Abend,noun,m,,
minute,Minute,noun,f,,eine-
tag,Tag,noun,m,,
jahr,Jahr,noun,n,,
sonntag,Sonntag,noun,m,,
morgen-noun,Morgen,noun,m,,
wecker,Wecker,noun,m,,mein-
monat,Monat,noun,m,,
woche,Woche,noun,f,,eine-
ferien,Ferien,noun,,,
spazieren,spazieren,verb,,,
kalender,Kalender,noun,m,,
einschlafen,einschlafen,verb,,,
mitternacht,Mitternacht,noun,f,,
ausruhen,ausruhen,verb,,,
wochentag,Wochentag,noun,m,,
feierabend,Feierabend,noun,m,,
